file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/main/java/libcore/io/SizeOf.java,libcore.io.SizeOf,class,0,1,1,0,0,1,0,0,1,0,0,0,0,0,6,6,6,0,0,0,6,0,0,11,0,0,0,0,0,0,6,6,0,6,0,0,0,0,18,17
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/main/java/libcore/io/Streams.java,libcore.io.Streams,class,4,31,1,24,66,12,11,11,1,0,0,0,0,0,1,1,0,1,0,0,0,0,4,155,8,7,13,2,5,2,34,27,3,21,2,0,0,0,140,17
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/main/java/libcore/io/DiskLruCache.java,libcore.io.DiskLruCache$Anonymous1,anonymous,1,3,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,1,0,0,0,1,1,0,0,2,1,-1,0,0,-1
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/main/java/libcore/io/DiskLruCache.java,libcore.io.DiskLruCache$Entry,subclass,3,10,1,6,3,6,0,3,3,0,0,0,0,0,5,0,0,5,0,0,2,0,2,56,3,2,1,1,0,4,1,5,3,7,2,0,0,0,54,18
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/main/java/libcore/io/DiskLruCache.java,libcore.io.DiskLruCache$Editor,subclass,5,12,3,9,9,7,0,6,1,0,0,0,0,0,2,0,0,2,0,0,1,0,2,111,4,0,3,1,0,0,0,4,0,4,2,0,1,0,90,17
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/main/java/libcore/io/DiskLruCache.java,libcore.io.DiskLruCache$Snapshot,subclass,4,6,1,4,2,5,0,4,1,0,0,0,0,0,3,0,0,3,0,0,3,0,2,37,3,1,0,0,0,0,0,3,0,3,1,0,0,0,44,17
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/main/java/libcore/io/DiskLruCache.java,libcore.io.DiskLruCache$Editor$FaultHidingOutputStream,subclass,1,9,3,4,10,5,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,4,0,0,0,4,0,0,1,0,0,0,19,18
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/main/java/libcore/io/DiskLruCache.java,libcore.io.DiskLruCache,class,7,88,1,53,58,24,3,11,13,0,0,0,0,8,22,9,0,17,0,5,18,0,20,607,20,11,21,4,1,35,29,72,17,54,3,1,3,0,373,17
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/main/java/libcore/io/OsConstants.java,libcore.io.OsConstants,class,1,110,1,4,167,19,18,16,3,0,0,0,0,0,399,399,399,0,0,0,399,0,404,729,107,0,100,0,12,90,10,399,2,399,1,0,0,0,57,17
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/main/java/libcore/io/IoUtils.java,libcore.io.IoUtils,class,1,13,1,6,6,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49,0,1,3,2,0,2,0,1,2,1,2,0,0,0,35,17
